taxon_name,common name,status,life_cycle,flower_color,bloom_start,bloom_end,jepson id,calrecnum,inat id,cch2_id,fna,calscape_cn,calipc,RPI ID,CRPR,CESA,FESA,SRank,GRank
Allophyllum gilioides subsp. gilioides,dense false gilia,N,,,,,49079,246,58962,94899
Allophyllum gilioides subsp. violaceum,,N,,,,,49080,247,58963,201976,,Dense False Gilyflower
Allotropa virgata,sugarstick,N,perennial,white,6,8,12707,250,62481,62827,true,Sugarstick
Alnus incana subsp. tenuifolia,mountain alder,N,perennial,,4,6,49084,251,79567,201979,true,Mountain Alder
Alnus rhombifolia,white alder,N,,,,,12722,252,53351,9639,true,White Alder
Alnus rubra,red alder,N,,,,,12723,253,56034,9640,true,Red Alder
Alopecurus myosuroides,slender meadow foxtail,X,,,,,12751,261,75383,134798,true
Alopecurus saccatus,Pacific foxtail,N,,,,,12755,263,58364,134815,true,Pacific Foxtail
Amaranthus albus,pigweed,X,,,,,12892,271,57893,111588,true
Amaranthus blitoides,tumbleweed amaranth,N,,,,,12900,273,58774,111597,true,Procumbent Pigweed
Amaranthus californicus,California amaranth,N,,,,,12907,274,58775,111602,true,Californian Amaranth
Amaranthus deflexus,,X,,,,,12917,277,75393,111610,true
Amaranthus hybridus,,X,,,,,12924,280,75395,111619,true
Amaranthus palmeri,,N,,,,,12933,281,75397,111629,true,Palmer's Amaranth
Amaranthus powellii,,N,,,,,12936,282,75398,111633,true,Powell's Amaranth
Amaranthus retroflexus,rough pigweed,X,,,,,12941,283,58776,111637,true
Amaryllis belladonna,naked-lady,X,,,,,12964,8632,61827,201987
Ambrosia chamissonis,beach-bur,N,,,,,812,292,71135,202002,true,Beach Bur
Ambrosia psilostachya,western ragweed,N,,,,,12969,298,60129,202010,true,Western Ragweed
Amelanchier alnifolia var. pumila,dwarf serviceberry,N,perennial,white,5,6,53896,301,80359,44387,true,Glabrous Serviceberry
Amelanchier utahensis,service-berry,N,perennial,white,4,6,13008,304,61099,9742,true,Service Berry
Ammannia coccinea,,N,,,,,13031,306,60210,9763,true,Valley Redstem
Amsinckia douglasiana,,N,,,,,13126,321,58047,202025,,Douglas' Fiddleneck,,3270,4.2,,,S4,G4
Amsinckia eastwoodiae,,N,,,,,13127,322,75422,202026,,Eastwood's Fiddleneck
Amsinckia grandiflora,large-flowered fiddleneck,N,,,,,13130,323,75424,202030,,Large-flowered Fiddleneck,,4,1B.1,CE,FE,S1,G1
Amsinckia intermedia,fiddleneck,N,,,,,13131,11324,49141,202031,,Common Fiddleneck
Amsinckia lunaris,bent-flower fiddleneck,N,,,,,13139,324,75425,202032,,Bent Flowered Fiddleneck,,5,1B.2,,,S3,G3
Amsinckia lycopsoides,,N,,,,,13140,325,58048,202033,,Bugloss-flowered Fiddleneck
Amsinckia menziesii,rancher's fireweed,N,annual,orange,,,13145,326,55436,202034,,Menzies' Fiddleneck
Amsinckia retrorsa,rigid fiddleneck,N,annual,yellow,2,5,13147,11325,58049,202037,,Rigid Fiddleneck
Amsinckia tessellata var. gloriosa,,N,,,,,77019,333,80365,202042,,Carrizo Fiddleneck
Amsinckia tessellata var. tessellata,devil's lettuce,N,,,,,77020,334,58852,202043,,Desert Fiddleneck
Amsinckia vernicosa,,N,,,,,13155,335,58051,202027,,Green Fiddleneck
Anaphalis margaritacea,pearly everlasting,N,,,,,846,341,52833,202046,true,Pearly Everlasting
Ancistrocarphus filagineus,woolly fishhook,N,,,,,849,345,50795,202048,true,Woolly Fishhooks
Androsace elongata subsp. acuta,,N,,,,,49111,348,58299,202050,true,California Androsace,,1799,4.2,,,S3S4,G5?T3T4
Anemone occidentalis,white pasqueflower,N,perennial,white,5,9,13385,357,60482,9882,true,Western Pasque Flower
Anemopsis californica,yerba mansa,N,,,,,13392,360,60241,9906,true,Yerba Mansa
Angelica breweri,Brewer's angelica,N,perennial,white,6,8,13405,363,75447,202054,,Brewer's Angelica
Angelica californica,,N,,,,,13406,364,75448,211125,,California Angelica
Angelica capitellata,ranger's buttons,N,perennial,white,7,8,101118,13431,704166,202056,,Woollyhead Parsnip
Anisocarpus madioides,,N,,,,,77551,10770,53137,202061,true,Woodland Madia
Antennaria media,Rocky Mountain pussytoes,N,perennial,white,7,8,935,383,75466,202065,true,Alpine Pussytoes
Antennaria rosea subsp. rosea,rosy pussytoes,N,perennial,"white,pink",6,8,5718,388,79575,211615,true,Rosy Pussytoes
Anthemis cotula,"mayweed,dog-fennel",X,,,,,1067,392,52841,202091,true
Anthoxanthum occidentale,,N,,,,,13521,11332,75474,135418,true,California Vanilla Grass
Anthriscus caucalis,bur-chervil,X,,white,,,13523,396,52846,202093
